Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2004-01-02,16.953718185424805,,15.691825866699219,14.989690780639648,18.0434513092041,15.557317733764648,12.763999938964844,,11.375707626342773,21.48300552368164,24.192441940307617
2004-01-05,17.298404693603516,,15.99380874633789,15.112431526184082,18.218889236450195,15.937122344970703,12.847039222717285,,11.395262718200684,21.582529067993164,24.401662826538086
2004-01-06,17.14521598815918,,15.97671890258789,15.107083320617676,18.1919002532959,16.081466674804688,12.876697540283203,,11.370821952819824,21.646516799926758,24.49464988708496
2004-01-07,17.05584144592285,,15.811480522155762,15.117762565612793,18.218889236450195,16.157424926757812,12.823307991027832,,11.429479598999023,21.781583786010742,24.603132247924805
2004-01-08,17.24734115600586,,15.857059478759766,15.171130180358887,18.333602905273438,16.47647476196289,12.805517196655273,,11.424592018127441,21.689163208007812,24.525651931762695
2004-01-09,16.947330474853516,,15.9368314743042,15.117762565612793,18.151409149169922,16.256166458129883,12.710613250732422,,11.38548755645752,21.554100036621094,24.424901962280273
2004-01-12,16.91541862487793,,15.982418060302734,15.181806564331055,18.21213722229004,16.506851196289062,12.769929885864258,,11.380598068237305,21.5185489654541,24.370664596557617
2004-01-13,16.698387145996094,,15.988113403320312,15.107083320617676,18.13791275024414,16.27136993408203,12.752135276794434,,11.32681941986084,21.426132202148438,24.3319149017334
2004-01-14,16.768606185913086,,15.948227882385254,15.224491119384766,18.3875789642334,16.46888542175293,12.799583435058594,,11.463702201843262,21.54698944091797,24.525651931762695
2004-01-15,16.64093589782715,,15.680435180664062,15.352568626403809,18.414569854736328,16.53723907470703,12.811450958251953,,11.424592018127441,21.60385513305664,24.595394134521484
2004-01-16,16.634553909301758,,15.828579902648926,15.400593757629395,18.758705139160156,16.74993896484375,12.805517196655273,,11.405038833618164,21.653621673583984,24.595394134521484
2004-01-20,16.698387145996094,,16.227418899536133,15.379247665405273,18.52928352355957,16.787921905517578,12.763999938964844,,11.488141059875488,21.582529067993164,24.417156219482422
2004-01-21,16.71115493774414,,16.32428741455078,15.608707427978516,18.657482147216797,16.658784866333008,12.81737995147705,,11.688576698303223,21.945077896118164,24.719377517700195
2004-01-22,16.53879737854004,,16.244522094726562,15.608707427978516,18.56977081298828,16.499256134033203,12.775859832763672,,11.732576370239258,21.98773956298828,24.913087844848633
2004-01-23,16.219648361206055,,16.386962890625,15.5339994430542,18.50229835510254,16.446088790893555,12.882621765136719,,11.62992000579834,21.881101608276367,24.835615158081055
2004-01-26,16.372848510742188,,16.483823776245117,15.747447967529297,18.738466262817383,16.74993896484375,13.00717544555664,,11.561471939086914,22.158353805541992,24.882091522216797
2004-01-27,16.328163146972656,,16.449636459350586,15.640731811523438,18.556276321411133,16.491657257080078,12.941937446594238,,11.522364616394043,22.016172409057617,24.711620330810547
2004-01-28,16.194110870361328,,16.216032028198242,15.363241195678711,18.2661190032959,16.218191146850586,12.811450958251953,,11.566361427307129,21.824228286743164,24.12269401550293
2004-01-29,16.091989517211914,,16.20462989807129,15.491312026977539,18.272872924804688,16.134641647338867,12.989383697509766,,11.659242630004883,22.14413070678711,24.277679443359375
2004-01-30,16.283477783203125,,16.050790786743164,15.501977920532227,18.239131927490234,16.142229080200195,12.918213844299316,,11.639686584472656,22.023277282714844,24.262170791625977
2004-02-02,16.206872940063477,,16.14196014404297,15.592689514160156,18.20538902282715,16.142229080200195,12.971589088439941,,11.571249008178711,22.307632446289062,24.192441940307617
2004-02-03,16.117511749267578,,16.079286575317383,15.608707427978516,18.13791275024414,16.16501808166504,13.036833763122559,,11.673911094665527,22.449813842773438,24.060701370239258
2004-02-04,16.009004592895508,,15.96532154083252,15.480633735656738,18.050193786621094,15.770009994506836,13.113944053649902,,11.483254432678223,22.520904541015625,24.029708862304688
2004-02-05,16.213274002075195,,15.822877883911133,15.475300788879395,18.218889236450195,15.792800903320312,13.196978569030762,,11.414811134338379,22.40715789794922,24.215686798095703
2004-02-06,16.53879737854004,,15.931134223937988,15.736776351928711,18.299861907958984,16.127031326293945,13.297813415527344,,11.512585639953613,22.57777214050293,24.471406936645508
2004-02-09,16.55156898498535,,16.124862670898438,15.672741889953613,18.252620697021484,16.005495071411133,13.315604209899902,,11.581028938293457,22.357397079467773,24.502403259277344
2004-02-10,16.64093589782715,,16.341381072998047,15.720768928527832,18.239131927490234,16.134641647338867,13.36898136138916,,11.678797721862793,22.45693016052246,24.711620330810547
2004-02-11,17.049463272094727,,16.563602447509766,15.960912704467773,18.44156265258789,16.263771057128906,13.3511962890625,,11.669022560119629,22.663070678710938,24.959590911865234
2004-02-12,16.998397827148438,,16.6148738861084,15.934218406677246,18.428071975708008,16.11185073852539,13.374913215637207,,11.63480281829834,22.520904541015625,24.835615158081055
2004-02-13,16.864349365234375,,16.574987411499023,15.902206420898438,18.34034538269043,16.013092041015625,13.29188060760498,,11.620139122009277,22.42137908935547,24.58763885498047
2004-02-17,17.043079376220703,,16.71744155883789,16.019601821899414,18.48204231262207,16.24857521057129,13.410500526428223,,11.70813274383545,22.563556671142578,24.905344009399414
2004-02-18,16.972858428955078,,16.540802001953125,15.934218406677246,18.3875789642334,16.17262840270996,13.392711639404297,,11.747238159179688,22.46402931213379,24.75811195373535
2004-02-19,17.08138084411621,,16.523706436157227,15.928885459899902,18.245872497558594,15.92953109741211,13.457954406738281,,11.669022560119629,22.385835647583008,24.781362533569336
2004-02-20,16.9345703125,,16.518016815185547,15.886188507080078,18.21213722229004,15.853574752807617,13.564717292785645,,11.556586265563965,22.26497459411621,24.595394134521484
2004-02-23,16.940950393676758,,16.649066925048828,15.886188507080078,18.144662857055664,15.640876770019531,13.641820907592773,,11.60058307647705,22.222322463989258,24.417156219482422
2004-02-24,17.01754379272461,,16.67755126953125,15.822163581848145,18.144662857055664,15.656060218811035,13.558788299560547,,11.537035942077637,22.321849822998047,24.463653564453125
2004-02-25,17.043079376220703,,16.7573184967041,15.891534805297852,18.09743881225586,15.777606010437012,13.600305557250977,,11.654362678527832,22.35028839111328,24.595394134521484
2004-02-26,17.043079376220703,,16.81430435180664,15.907539367675781,18.11092185974121,15.815590858459473,13.600305557250977,,11.732576370239258,22.321849822998047,24.7503719329834
2004-02-27,17.1324462890625,,16.894073486328125,15.94489860534668,18.104175567626953,15.732016563415527,13.653691291809082,,11.859679222106934,22.257875442504883,24.78911018371582
2004-03-01,17.413305282592773,,17.218849182128906,16.056961059570312,18.198646545410156,15.921929359436035,13.807894706726074,,11.918340682983398,22.321849822998047,24.9440860748291
2004-03-02,17.19627571105957,,17.070697784423828,15.976916313171387,18.13791275024414,15.861175537109375,13.671478271484375,,11.8645658493042,22.17967414855957,24.874347686767578
2004-03-03,17.094146728515625,,17.04791259765625,16.072965621948242,18.13117218017578,15.78520679473877,13.742652893066406,,11.859679222106934,22.2720947265625,24.897598266601562
2004-03-04,17.18988800048828,,16.996631622314453,16.115659713745117,18.198646545410156,15.921929359436035,13.712994575500488,,11.942782402038574,22.37160873413086,24.998332977294922
2004-03-05,17.183507919311523,,17.144777297973633,16.254398345947266,18.239131927490234,15.80039119720459,13.718925476074219,,12.035663604736328,22.4853515625,25.176559448242188
2004-03-08,16.998397827148438,,17.218849182128906,16.169025421142578,17.928739547729492,15.4585599899292,13.712994575500488,,12.001449584960938,22.46402931213379,24.827852249145508
2004-03-09,16.743066787719727,,17.10488510131836,16.06229019165039,17.807273864746094,15.4585599899292,13.712994575500488,,11.93300724029541,22.208114624023438,24.665128707885742
2004-03-10,16.277099609375,,16.808603286743164,15.806151390075684,17.476638793945312,15.18509578704834,13.677406311035156,,11.796127319335938,21.866884231567383,24.362911224365234
2004-03-11,16.13028335571289,,16.432546615600586,15.550005912780762,17.213472366333008,15.017975807189941,13.416437149047852,,11.625022888183594,21.447460174560547,23.91347312927246
2004-03-12,16.39199447631836,,16.67184829711914,15.779462814331055,17.510379791259766,15.314234733581543,13.416437149047852,,11.737472534179688,21.50432777404785,24.293170928955078
